N,BW,bit_errors
0.0,0.006,0
0.0,0.012,0
0.0,0.018,0
0.0,0.024,0
0.0,0.03,0
0.0,0.036,0
0.0,0.042,0
0.0,0.048,0
0.0,0.054,0
0.0,0.06,0
0.0,0.066,0
0.0,0.072,0
0.0,0.078,0
0.0,0.084,0
0.0,0.09,0
0.0,0.096,0
0.0,0.102,0
0.0,0.108,0
0.0,0.114,0
0.0,0.12,0
0.0,0.126,0
0.0,0.132,0
0.0,0.138,0
0.0,0.144,0
0.0,0.15,0
0.0,0.156,0
0.0,0.162,0
0.0,0.168,0
0.0,0.174,0
0.0,0.18,0
0.0,0.186,0
0.0,0.192,0
0.0,0.198,0
0.0,0.204,0
0.0,0.21,0
0.0,0.216,0
0.0,0.222,0
0.0,0.228,0
0.0,0.234,0
0.0,0.24,0
0.0,0.246,0
0.0,0.252,0
0.5,0.006,4
0.5,0.012,3
0.5,0.018,3
0.5,0.024,3
0.5,0.03,3
0.5,0.036,1
0.5,0.042,1
0.5,0.048,1
0.5,0.054,1
0.5,0.06,0
0.5,0.066,0
0.5,0.072,0
0.5,0.078,0
0.5,0.084,0
0.5,0.09,0
0.5,0.096,0
0.5,0.102,0
0.5,0.108,0
0.5,0.114,0
0.5,0.12,0
0.5,0.126,0
0.5,0.132,0
0.5,0.138,0
0.5,0.144,0
0.5,0.15,0
0.5,0.156,0
0.5,0.162,0
0.5,0.168,0
0.5,0.174,0
0.5,0.18,0
0.5,0.186,0
0.5,0.192,0
0.5,0.198,0
0.5,0.204,0
0.5,0.21,2
0.5,0.216,2
0.5,0.222,1
0.5,0.228,1
0.5,0.234,1
0.5,0.24,1
0.5,0.246,0
0.5,0.252,1
1.0,0.006,24
1.0,0.012,24
1.0,0.018,23
1.0,0.024,23
1.0,0.03,21
1.0,0.036,20
1.0,0.042,20
1.0,0.048,21
1.0,0.054,20
1.0,0.06,21
1.0,0.066,17
1.0,0.072,15
1.0,0.078,18
1.0,0.084,18
1.0,0.09,15
1.0,0.096,19
1.0,0.102,14
1.0,0.108,6
1.0,0.114,8
1.0,0.12,19
1.0,0.126,23
1.0,0.132,19
1.0,0.138,30
1.0,0.144,37
1.0,0.15,33
1.0,0.156,67
1.0,0.162,34
1.0,0.168,35
1.0,0.174,18
1.0,0.18,14
1.0,0.186,22
1.0,0.192,22
1.0,0.198,64
1.0,0.204,63
1.0,0.21,23
1.0,0.216,65
1.0,0.222,22
1.0,0.228,16
1.0,0.234,17
1.0,0.24,13
1.0,0.246,14
1.0,0.252,24
1.5,0.006,41
1.5,0.012,41
1.5,0.018,40
1.5,0.024,39
1.5,0.03,39
1.5,0.036,38
1.5,0.042,38
1.5,0.048,38
1.5,0.054,37
1.5,0.06,34
1.5,0.066,37
1.5,0.072,43
1.5,0.078,38
1.5,0.084,50
1.5,0.09,49
1.5,0.096,56
1.5,0.102,40
1.5,0.108,38
1.5,0.114,43
1.5,0.12,73
1.5,0.126,44
1.5,0.132,72
1.5,0.138,36
1.5,0.144,35
1.5,0.15,41
1.5,0.156,106
1.5,0.162,110
1.5,0.168,103
1.5,0.174,86
1.5,0.18,76
1.5,0.186,77
1.5,0.192,46
1.5,0.198,42
1.5,0.204,42
1.5,0.21,67
1.5,0.216,51
1.5,0.222,47
1.5,0.228,48
1.5,0.234,47
1.5,0.24,102
1.5,0.246,104
1.5,0.252,108
2.0,0.006,61
2.0,0.012,60
2.0,0.018,57
2.0,0.024,58
2.0,0.03,55
2.0,0.036,54
2.0,0.042,50
2.0,0.048,54
2.0,0.054,53
2.0,0.06,67
2.0,0.066,52
2.0,0.072,57
2.0,0.078,60
2.0,0.084,60
2.0,0.09,56
2.0,0.096,56
2.0,0.102,105
2.0,0.108,111
2.0,0.114,105
2.0,0.12,59
2.0,0.126,66
2.0,0.132,58
2.0,0.138,60
2.0,0.144,66
2.0,0.15,57
2.0,0.156,73
2.0,0.162,56
2.0,0.168,54
2.0,0.174,72
2.0,0.18,76
2.0,0.186,68
2.0,0.192,70
2.0,0.198,87
2.0,0.204,93
2.0,0.21,110
2.0,0.216,94
2.0,0.222,69
2.0,0.228,79
2.0,0.234,70
2.0,0.24,82
2.0,0.246,112
2.0,0.252,100
2.5,0.006,68
2.5,0.012,67
2.5,0.018,66
2.5,0.024,64
2.5,0.03,64
2.5,0.036,61
2.5,0.042,59
2.5,0.048,65
2.5,0.054,64
2.5,0.06,65
2.5,0.066,78
2.5,0.072,68
2.5,0.078,89
2.5,0.084,98
2.5,0.09,90
2.5,0.096,69
2.5,0.102,66
2.5,0.108,87
2.5,0.114,81
2.5,0.12,118
2.5,0.126,108
2.5,0.132,75
2.5,0.138,97
2.5,0.144,103
2.5,0.15,110
2.5,0.156,72
2.5,0.162,89
2.5,0.168,78
2.5,0.174,102
2.5,0.18,70
2.5,0.186,116
2.5,0.192,106
2.5,0.198,116
2.5,0.204,114
2.5,0.21,116
2.5,0.216,102
2.5,0.222,63
2.5,0.228,104
2.5,0.234,111
2.5,0.24,103
2.5,0.246,98
2.5,0.252,119
3.0,0.006,74
3.0,0.012,73
3.0,0.018,72
3.0,0.024,72
3.0,0.03,67
3.0,0.036,76
3.0,0.042,73
3.0,0.048,75
3.0,0.054,79
3.0,0.06,82
3.0,0.066,71
3.0,0.072,118
3.0,0.078,75
3.0,0.084,119
3.0,0.09,98
3.0,0.096,78
3.0,0.102,111
